x,y,value,rgb_distance
69.3693694,-0.425531915,7.89808917197e-06,0
70,-0.425531915,7.89808917197e-06,0
0,-0.85106383,,136.8539
0.630630631,-0.85106383,,131.8825
1.26126126,-0.85106383,,107.5081
1.89189189,-0.85106383,,105.2378
2.52252252,-0.85106383,,96.44688
3.15315315,-0.85106383,,94.06912
3.78378378,-0.85106383,,82.29216
4.41441441,-0.85106383,,79.30952
5.04504505,-0.85106383,,72.40856
5.67567568,-0.85106383,,59.04236
6.30630631,-0.85106383,,51.07837
6.93693694,-0.85106383,,38.02631
7.56756757,-0.85106383,,38.84585
8.1981982,-0.85106383,1.07006369427e-06,28.6531
8.82882883,-0.85106383,8.66242038217e-07,25.19921
9.45945946,-0.85106383,1.07006369427e-06,28.86174
10.0900901,-0.85106383,8.66242038217e-07,13.60147
10.7207207,-0.85106383,8.66242038217e-07,6.78233
11.3513514,-0.85106383,8.66242038217e-07,9.433981
11.981982,-0.85106383,8.66242038217e-07,13
12.6126126,-0.85106383,8.66242038217e-07,20.07486
13.2432432,-0.85106383,8.15286624204e-07,13.60147
13.8738739,-0.85106383,7.13375796178e-07,19.51922
14.5045045,-0.85106383,8.66242038217e-07,11.31371
15.1351351,-0.85106383,8.66242038217e-07,12.80625
15.7657658,-0.85106383,8.66242038217e-07,12.72792
16.3963964,-0.85106383,8.66242038217e-07,16.58312
17.027027,-0.85106383,8.66242038217e-07,10.81665
17.6576577,-0.85106383,8.66242038217e-07,7.874008
18.2882883,-0.85106383,7.13375796178e-07,17.49286
18.9189189,-0.85106383,8.15286624204e-07,12.24745
19.5495495,-0.85106383,8.15286624204e-07,16.15549
20.1801802,-0.85106383,7.13375796178e-07,20.73644
20.8108108,-0.85106383,7.13375796178e-07,19.33908
21.4414414,-0.85106383,8.15286624204e-07,14.89966
22.0720721,-0.85106383,7.13375796178e-07,24.22808
22.7027027,-0.85106383,7.13375796178e-07,19.44222
23.3333333,-0.85106383,7.13375796178e-07,24.53569
23.963964,-0.85106383,7.13375796178e-07,24.10394
24.5945946,-0.85106383,,40.75537
25.2252252,-0.85106383,7.13375796178e-07,29.88311
25.8558559,-0.85106383,6.62420382166e-07,33.48134
26.4864865,-0.85106383,,51.23475
27.1171171,-0.85106383,,46.04346
27.7477477,-0.85106383,,63.07139
28.3783784,-0.85106383,,54.3875
29.009009,-0.85106383,,71.56116
29.6396396,-0.85106383,,67.14909
30.2702703,-0.85106383,,74.53187
30.9009009,-0.85106383,,86.41759
31.5315315,-0.85106383,,73.60706
32.1621622,-0.85106383,,80.60397
32.7927928,-0.85106383,,85.11169
33.4234234,-0.85106383,,76.74634
